genes	cluster
CEG44899	CEG44899	18
CEG45637	CEG45637	18
CEG38514	CEG38514	18
CEG36283	CEG36283	18
CEG46214	CEG46214	18
CEG44195	CEG44195	18
CEG50237	CEG50237	18
CEG40233	CEG40233	18
CEG41779	CEG41779	18
CEG46967	CEG46967	18
CEG41937	CEG41937	18
CEG45752	CEG45752	18
CEG46925	CEG46925	18
CEG36006	CEG36006	18
CEG47482	CEG47482	18
CEG45068	CEG45068	18
CEG43729	CEG43729	18
CEG49015	CEG49015	18
CEG50016	CEG50016	18
CEG37638	CEG37638	18
CEG42544	CEG42544	18
CEG44124	CEG44124	18
CEG45467	CEG45467	18
CEG48123	CEG48123	18
CEG41357	CEG41357	18
CEG44901	CEG44901	18
CEG36093	CEG36093	18
CEG39154	CEG39154	18
CEG47625	CEG47625	18
CEG37875	CEG37875	18
CEG35246	CEG35246	18
CEG47128	CEG47128	18
CEG35295	CEG35295	18
CEG35922	CEG35922	18
CEG37463	CEG37463	18
CEG38775	CEG38775	18
CEG43114	CEG43114	18
CEG45741	CEG45741	18
CEG50463	CEG50463	18
CEG46213	CEG46213	18
CEG42058	CEG42058	18
CEG44873	CEG44873	18
CEG36732	CEG36732	18
CEG40114	CEG40114	19
CEG49853	CEG49853	19
CEG46936	CEG46936	19
CEG37631	CEG37631	19
CEG38119	CEG38119	19
CEG38976	CEG38976	19
CEG46445	CEG46445	19
CEG49107	CEG49107	19
CEG49948	CEG49948	19
CEG42369	CEG42369	19
CEG35921	CEG35921	19
CEG35442	CEG35442	19
CEG37780	CEG37780	19
CEG42550	CEG42550	19
CEG45364	CEG45364	19
CEG43306	CEG43306	19
CEG44815	CEG44815	19
CEG36880	CEG36880	19
CEG49408	CEG49408	19
CEG44564	CEG44564	19
CEG50082	CEG50082	19
CEG44131	CEG44131	19
CEG37636	CEG37636	19
CEG44265	CEG44265	19
CEG44345	CEG44345	19
CEG44173	CEG44173	19
CEG39805	CEG39805	19
CEG48632	CEG48632	19
CEG46263	CEG46263	19
CEG45041	CEG45041	19
CEG40856	CEG40856	20
CEG40942	CEG40942	20
CEG46668	CEG46668	20
CEG42301	CEG42301	20
CEG46911	CEG46911	20
CEG48862	CEG48862	20
CEG46166	CEG46166	20
CEG43720	CEG43720	20
CEG45158	CEG45158	20
CEG45971	CEG45971	20
CEG46710	CEG46710	20
CEG46194	CEG46194	20
CEG48093	CEG48093	20
CEG39104	CEG39104	20
CEG37448	CEG37448	20
CEG42019	CEG42019	20
CEG49945	CEG49945	20
CEG47387	CEG47387	20
CEG42303	CEG42303	20
CEG41820	CEG41820	20
CEG41346	CEG41346	20
CEG43534	CEG43534	20
CEG43904	CEG43904	20
CEG41348	CEG41348	20
CEG44289	CEG44289	20
CEG48893	CEG48893	20
CEG42996	CEG42996	20
CEG40134	CEG40134	20
CEG43538	CEG43538	20
CEG45940	CEG45940	20
CEG46542	CEG46542	20
CEG43147	CEG43147	20
CEG44348	CEG44348	20
CEG47219	CEG47219	20
CEG45044	CEG45044	20
CEG45493	CEG45493	20
CEG39922	CEG39922	20
CEG49976	CEG49976	20
CEG46543	CEG46543	20
CEG35925	CEG35925	20
CEG35894	CEG35894	20
CEG38551	CEG38551	20
CEG38501	CEG38501	20
CEG43209	CEG43209	20
CEG38493	CEG38493	20
CEG38938	CEG38938	20
CEG38868	CEG38868	20
CEG37032	CEG37032	20
CEG47424	CEG47424	20
CEG40748	CEG40748	20
CEG47636	CEG47636	20
CEG46673	CEG46673	20
CEG42579	CEG42579	20
CEG50420	CEG50420	20
CEG36807	CEG36807	20
CEG46525	CEG46525	20
CEG41326	CEG41326	20
CEG48089	CEG48089	20
CEG43545	CEG43545	20
CEG41099	CEG41099	20
CEG41540	CEG41540	20
CEG35084	CEG35084	20
CEG48521	CEG48521	20
CEG36828	CEG36828	20
CEG47934	CEG47934	20
CEG44590	CEG44590	20
CEG42398	CEG42398	20
CEG48550	CEG48550	20
CEG46175	CEG46175	20
CEG47771	CEG47771	20
CEG38104	CEG38104	20
CEG47607	CEG47607	20
CEG42023	CEG42023	20
CEG43970	CEG43970	20
CEG49469	CEG49469	20
CEG46805	CEG46805	20
CEG42705	CEG42705	20
CEG49014	CEG49014	20
CEG37236	CEG37236	20
CEG47597	CEG47597	20
CEG47197	CEG47197	20
CEG36285	CEG36285	20
CEG47259	CEG47259	20
CEG47355	CEG47355	20
CEG42805	CEG42805	20
CEG49172	CEG49172	20
CEG40186	CEG40186	20
CEG35928	CEG35928	20
CEG47669	CEG47669	20
CEG47851	CEG47851	20
CEG36883	CEG36883	20
CEG42390	CEG42390	20
CEG48947	CEG48947	20
CEG40353	CEG40353	20
CEG40371	CEG40371	20
CEG48267	CEG48267	20
CEG48384	CEG48384	20
CEG50010	CEG50010	20
CEG41520	CEG41520	20
CEG49808	CEG49808	20
CEG36668	CEG36668	20
CEG46118	CEG46118	20
CEG43661	CEG43661	20
CEG46968	CEG46968	20
CEG36771	CEG36771	20
CEG42927	CEG42927	20
CEG43067	CEG43067	20
CEG49006	CEG49006	20
CEG42137	CEG42137	20
CEG45157	CEG45157	20
CEG46506	CEG46506	20
CEG38295	CEG38295	20
CEG47755	CEG47755	20
CEG40700	CEG40700	20
CEG46038	CEG46038	20
CEG39247	CEG39247	20
CEG40309	CEG40309	20
CEG39309	CEG39309	20
CEG35171	CEG35171	20
CEG49614	CEG49614	20
CEG38599	CEG38599	20
CEG47756	CEG47756	20
CEG39279	CEG39279	20
CEG38603	CEG38603	20
CEG43358	CEG43358	20
CEG39566	CEG39566	20
CEG49260	CEG49260	20
CEG44937	CEG44937	20
CEG41476	CEG41476	20
CEG47162	CEG47162	20
CEG37671	CEG37671	20
CEG43542	CEG43542	20
CEG45858	CEG45858	20
CEG47022	CEG47022	20
CEG50215	CEG50215	20
CEG46990	CEG46990	20
CEG46103	CEG46103	20
CEG48505	CEG48505	20
CEG40108	CEG40108	20
CEG41702	CEG41702	20
CEG41194	CEG41194	20
CEG35311	CEG35311	20
CEG36766	CEG36766	20
CEG36320	CEG36320	20
CEG38739	CEG38739	20
CEG40901	CEG40901	21
CEG42506	CEG42506	21
CEG40471	CEG40471	21
CEG42859	CEG42859	21
CEG44546	CEG44546	21
CEG44547	CEG44547	21
CEG48508	CEG48508	21
CEG41087	CEG41087	21
CEG46478	CEG46478	21
CEG40206	CEG40206	21
CEG42677	CEG42677	21
CEG40360	CEG40360	21
CEG36156	CEG36156	21
CEG42670	CEG42670	21
CEG40944	CEG40944	21
CEG38456	CEG38456	21
CEG35753	CEG35753	21
CEG50053	CEG50053	21
CEG49577	CEG49577	21
CEG36399	CEG36399	21
CEG39072	CEG39072	21
CEG37410	CEG37410	21
CEG41965	CEG41965	21
CEG41218	CEG41218	21
CEG44002	CEG44002	21
CEG36318	CEG36318	21
CEG49836	CEG49836	21
CEG42399	CEG42399	21
CEG36202	CEG36202	21
CEG40481	CEG40481	21
CEG45221	CEG45221	21
CEG44078	CEG44078	21
CEG49794	CEG49794	21
CEG50161	CEG50161	21
CEG36490	CEG36490	21
CEG43819	CEG43819	21
CEG46532	CEG46532	21
CEG35435	CEG35435	21
CEG41593	CEG41593	21
CEG37625	CEG37625	21
CEG37945	CEG37945	21
CEG44870	CEG44870	21
CEG41868	CEG41868	21
CEG35732	CEG35732	21
CEG36627	CEG36627	21
CEG36764	CEG36764	21
CEG45306	CEG45306	21
CEG40744	CEG40744	21
CEG39164	CEG39164	21
CEG40401	CEG40401	21
CEG41712	CEG41712	21
CEG35219	CEG35219	21
CEG41967	CEG41967	21
CEG48648	CEG48648	21
CEG44095	CEG44095	21
CEG49772	CEG49772	21
CEG48987	CEG48987	21
CEG49373	CEG49373	21
CEG43659	CEG43659	21
CEG36225	CEG36225	21
CEG50474	CEG50474	21
CEG38477	CEG38477	21
ENSRNAG00050153148	ENSRNAG00050153148	21
CEG47884	CEG47884	21
CEG44643	CEG44643	21
CEG46840	CEG46840	21
CEG45235	CEG45235	21
CEG42758	CEG42758	21
CEG46647	CEG46647	21
CEG35920	CEG35920	21
CEG48930	CEG48930	21
CEG45866	CEG45866	21
CEG50421	CEG50421	21
CEG36628	CEG36628	21
CEG44969	CEG44969	21
CEG35386	CEG35386	21
CEG46982	CEG46982	21
CEG43370	CEG43370	21
CEG45838	CEG45838	21
CEG49378	CEG49378	21
CEG41865	CEG41865	21
CEG37742	CEG37742	21
CEG49909	CEG49909	21
CEG37025	CEG37025	21
CEG49920	CEG49920	21
CEG47747	CEG47747	21
CEG47423	CEG47423	21
CEG43136	CEG43136	21
CEG44614	CEG44614	21
CEG46012	CEG46012	21
CEG41363	CEG41363	21
CEG36566	CEG36566	21
CEG50013	CEG50013	21
CEG41005	CEG41005	22
CEG43505	CEG43505	22
CEG37084	CEG37084	22
CEG46128	CEG46128	22
CEG41469	CEG41469	22
CEG41342	CEG41342	22
CEG35724	CEG35724	22
CEG49061	CEG49061	22
CEG44792	CEG44792	22
CEG48707	CEG48707	22
CEG48501	CEG48501	22
CEG46127	CEG46127	22
CEG36653	CEG36653	22
CEG49716	CEG49716	22
CEG39919	CEG39919	22
CEG49067	CEG49067	22
CEG43447	CEG43447	22
CEG42107	CEG42107	23
CEG50223	CEG50223	23
CEG41629	CEG41629	23
CEG41411	CEG41411	23
CEG44100	CEG44100	23
CEG35809	CEG35809	23
CEG46267	CEG46267	23
CEG41760	CEG41760	23
CEG37066	CEG37066	23
CEG47011	CEG47011	23
CEG47989	CEG47989	23
CEG50116	CEG50116	23
CEG43851	CEG43851	23
CEG49076	CEG49076	23
CEG36144	CEG36144	23
CEG48243	CEG48243	23
CEG35832	CEG35832	23
CEG48646	CEG48646	23
CEG50185	CEG50185	23
CEG49130	CEG49130	23
CEG46569	CEG46569	23
CEG50490	CEG50490	23
CEG42892	CEG42892	23
CEG47019	CEG47019	23
CEG37985	CEG37985	23
CEG40410	CEG40410	23
CEG36359	CEG36359	23
CEG44252	CEG44252	23
CEG37241	CEG37241	23
CEG39786	CEG39786	23
CEG37201	CEG37201	23
CEG38383	CEG38383	23
CEG43982	CEG43982	23
CEG36507	CEG36507	23
CEG37048	CEG37048	23
CEG42418	CEG42418	23
CEG49450	CEG49450	23
CEG35241	CEG35241	23
CEG47152	CEG47152	23
CEG37357	CEG37357	23
CEG39713	CEG39713	23
CEG41285	CEG41285	23
CEG39758	CEG39758	23
CEG36700	CEG36700	23
CEG48515	CEG48515	23
CEG44650	CEG44650	23
CEG49075	CEG49075	23
CEG38344	CEG38344	23
CEG48481	CEG48481	23
CEG46232	CEG46232	23
CEG40020	CEG40020	23
CEG41902	CEG41902	23
CEG47500	CEG47500	23
CEG38947	CEG38947	23
CEG37657	CEG37657	23
CEG40643	CEG40643	23
CEG37656	CEG37656	23
CEG47538	CEG47538	23
CEG40296	CEG40296	23
CEG41678	CEG41678	23
CEG48068	CEG48068	23
CEG35710	CEG35710	23
CEG38460	CEG38460	23
CEG35788	CEG35788	23
CEG50202	CEG50202	23
CEG35539	CEG35539	23
CEG38151	CEG38151	23
CEG43401	CEG43401	23
CEG36313	CEG36313	23
CEG37642	CEG37642	23
CEG39547	CEG39547	23
CEG36085	CEG36085	23
CEG39740	CEG39740	23
CEG38327	CEG38327	23
CEG38637	CEG38637	23
CEG43886	CEG43886	23
CEG40506	CEG40506	23
CEG47284	CEG47284	23
CEG46188	CEG46188	23
CEG40338	CEG40338	23
CEG38642	CEG38642	23
CEG42475	CEG42475	23
CEG41577	CEG41577	23
CEG49937	CEG49937	23
CEG35290	CEG35290	23
CEG40414	CEG40414	23
CEG41528	CEG41528	23
CEG46771	CEG46771	23
CEG47214	CEG47214	23
CEG48525	CEG48525	23
CEG49025	CEG49025	23
CEG49468	CEG49468	23
CEG37131	CEG37131	23
CEG45629	CEG45629	23
CEG46006	CEG46006	23
CEG35585	CEG35585	23
CEG40960	CEG40960	23
CEG38199	CEG38199	23
CEG44717	CEG44717	23
CEG44430	CEG44430	23
CEG42411	CEG42411	23
CEG44935	CEG44935	23
CEG37237	CEG37237	23
CEG38038	CEG38038	23
CEG47630	CEG47630	23
CEG40442	CEG40442	23
CEG35556	CEG35556	23
CEG36760	CEG36760	23
CEG46626	CEG46626	23
CEG47976	CEG47976	23
CEG39163	CEG39163	23
CEG47652	CEG47652	23
CEG50134	CEG50134	23
CEG40855	CEG40855	23
CEG37230	CEG37230	23
CEG49624	CEG49624	23
CEG43031	CEG43031	23
CEG44809	CEG44809	23
CEG41996	CEG41996	23
CEG49328	CEG49328	23
CEG49501	CEG49501	23
CEG38555	CEG38555	23
CEG50030	CEG50030	23
CEG36300	CEG36300	23
CEG39801	CEG39801	23
CEG50204	CEG50204	23
CEG35850	CEG35850	23
CEG38538	CEG38538	23
CEG41318	CEG41318	23
CEG35503	CEG35503	23
CEG39373	CEG39373	23
CEG43762	CEG43762	23
CEG35646	CEG35646	23
CEG37145	CEG37145	23
CEG44692	CEG44692	23
CEG44452	CEG44452	23
CEG37035	CEG37035	23
CEG50309	CEG50309	23
CEG38150	CEG38150	23
CEG47565	CEG47565	23
CEG39780	CEG39780	23
CEG38882	CEG38882	23
CEG44196	CEG44196	23
CEG44673	CEG44673	23
CEG45025	CEG45025	23
CEG50518	CEG50518	23
CEG47888	CEG47888	23
CEG49969	CEG49969	23
CEG45655	CEG45655	23
CEG45170	CEG45170	23
CEG46818	CEG46818	23
CEG49026	CEG49026	23
CEG37523	CEG37523	23
CEG50115	CEG50115	23
CEG40115	CEG40115	23
CEG50159	CEG50159	23
CEG38070	CEG38070	23
CEG46224	CEG46224	23
CEG40458	CEG40458	23
CEG47667	CEG47667	23
CEG50099	CEG50099	23
CEG40809	CEG40809	23
CEG46616	CEG46616	23
CEG36414	CEG36414	23
CEG50255	CEG50255	23
CEG36695	CEG36695	23
CEG48852	CEG48852	24
CEG49653	CEG49653	24
CEG38270	CEG38270	24
CEG48941	CEG48941	24
CEG38877	CEG38877	24
CEG37053	CEG37053	24
CEG47104	CEG47104	24
CEG42687	CEG42687	24
CEG38188	CEG38188	24
CEG36877	CEG36877	24
CEG50213	CEG50213	24
CEG39478	CEG39478	24
CEG39573	CEG39573	24
CEG50288	CEG50288	24
CEG43265	CEG43265	24
CEG49461	CEG49461	24
CEG43706	CEG43706	24
CEG38692	CEG38692	24
CEG43578	CEG43578	24
CEG41055	CEG41055	24
CEG39645	CEG39645	24
CEG46798	CEG46798	24
CEG45815	CEG45815	24
CEG39724	CEG39724	24
CEG50092	CEG50092	24
CEG47770	CEG47770	24
CEG40185	CEG40185	24
CEG35882	CEG35882	24
CEG48922	CEG48922	24
CEG43003	CEG43003	24
CEG47229	CEG47229	24
CEG47521	CEG47521	24
CEG37824	CEG37824	24
CEG42076	CEG42076	24
CEG45035	CEG45035	24
CEG40792	CEG40792	24
CEG49659	CEG49659	24
CEG48656	CEG48656	24
CEG43483	CEG43483	24
CEG40285	CEG40285	24
CEG45816	CEG45816	24
CEG44333	CEG44333	24
CEG40582	CEG40582	24
CEG43520	CEG43520	24
CEG36972	CEG36972	24
CEG50199	CEG50199	24
CEG47698	CEG47698	24
CEG36172	CEG36172	24
CEG37239	CEG37239	24
CEG49155	CEG49155	24
CEG49462	CEG49462	24
CEG36066	CEG36066	24
CEG35791	CEG35791	24
CEG46794	CEG46794	24
CEG41873	CEG41873	24
CEG50311	CEG50311	24
CEG37412	CEG37412	24
CEG45864	CEG45864	24
CEG39778	CEG39778	24
CEG36809	CEG36809	24
CEG42807	CEG42807	24
CEG49347	CEG49347	24
CEG40246	CEG40246	24
CEG46301	CEG46301	24
CEG48667	CEG48667	24
CEG38537	CEG38537	24
CEG48946	CEG48946	24
CEG41572	CEG41572	24
CEG36640	CEG36640	24
CEG39007	CEG39007	24
CEG41533	CEG41533	24
CEG39781	CEG39781	24
CEG42982	CEG42982	24
CEG46257	CEG46257	24
CEG39636	CEG39636	24
CEG35074	CEG35074	24
CEG42808	CEG42808	24
CEG43307	CEG43307	24
CEG46986	CEG46986	24
CEG42743	CEG42743	24
CEG50410	CEG50410	24
CEG40896	CEG40896	24
CEG50424	CEG50424	24
CEG48495	CEG48495	24
CEG40785	CEG40785	24
CEG40829	CEG40829	24
CEG39119	CEG39119	24
CEG35577	CEG35577	24
CEG49561	CEG49561	24
CEG35410	CEG35410	24
CEG45734	CEG45734	24
CEG37645	CEG37645	24
CEG37516	CEG37516	24
CEG45300	CEG45300	24
CEG47360	CEG47360	24
CEG41877	CEG41877	24
CEG50491	CEG50491	24
CEG50167	CEG50167	24
CEG46637	CEG46637	24
CEG39306	CEG39306	24
CEG49163	CEG49163	24
CEG46631	CEG46631	24
CEG41765	CEG41765	24
CEG44591	CEG44591	24
CEG39494	CEG39494	24
CEG36532	CEG36532	24
CEG36670	CEG36670	24
CEG43035	CEG43035	24
CEG36052	CEG36052	24
CEG43802	CEG43802	24
CEG43750	CEG43750	24
CEG50373	CEG50373	24
CEG47872	CEG47872	24
CEG36845	CEG36845	24
CEG37484	CEG37484	24
CEG37676	CEG37676	24
CEG46115	CEG46115	24
CEG46423	CEG46423	24
CEG41047	CEG41047	24
CEG48023	CEG48023	24
CEG42262	CEG42262	24
CEG49380	CEG49380	24
CEG36875	CEG36875	24
CEG43463	CEG43463	24
CEG47325	CEG47325	24
CEG35606	CEG35606	24
CEG36379	CEG36379	24
CEG49498	CEG49498	24
CEG37928	CEG37928	24
CEG49033	CEG49033	24
CEG40912	CEG40912	24
CEG37512	CEG37512	24
CEG46268	CEG46268	24
CEG40370	CEG40370	24
CEG40232	CEG40232	24
CEG42366	CEG42366	24
CEG50021	CEG50021	24
CEG38415	CEG38415	24
CEG36531	CEG36531	24
CEG40975	CEG40975	24
CEG43958	CEG43958	24
CEG48166	CEG48166	24
CEG47619	CEG47619	24
CEG43216	CEG43216	24
CEG36340	CEG36340	24
CEG47483	CEG47483	24
CEG45368	CEG45368	24
CEG40537	CEG40537	24
CEG42841	CEG42841	24
CEG48702	CEG48702	24
CEG43181	CEG43181	24
CEG46385	CEG46385	24
CEG46597	CEG46597	24
CEG43665	CEG43665	24
CEG48829	CEG48829	24
CEG45676	CEG45676	24
CEG49180	CEG49180	24
CEG36672	CEG36672	24
CEG43510	CEG43510	24
CEG48608	CEG48608	24
CEG46745	CEG46745	24
CEG49649	CEG49649	24
CEG49244	CEG49244	24
CEG48035	CEG48035	24
CEG48516	CEG48516	24
CEG47246	CEG47246	24
CEG36443	CEG36443	24
CEG49691	CEG49691	24
CEG36160	CEG36160	24
CEG45384	CEG45384	24
CEG44018	CEG44018	24
CEG42671	CEG42671	24
CEG40989	CEG40989	24
CEG44349	CEG44349	24
CEG50259	CEG50259	24
CEG47481	CEG47481	24
CEG40583	CEG40583	24
CEG45289	CEG45289	24
CEG41648	CEG41648	24
CEG37004	CEG37004	24
CEG38712	CEG38712	24
CEG40586	CEG40586	24
CEG35124	CEG35124	24
CEG48681	CEG48681	24
CEG47562	CEG47562	24
CEG41133	CEG41133	24
CEG43715	CEG43715	24
CEG50443	CEG50443	24
CEG47920	CEG47920	24
CEG39649	CEG39649	24
CEG47614	CEG47614	24
CEG49733	CEG49733	24
CEG38095	CEG38095	24
CEG44820	CEG44820	24
CEG42175	CEG42175	24
CEG36761	CEG36761	24
CEG42785	CEG42785	24
CEG46740	CEG46740	24
CEG35485	CEG35485	24
CEG39094	CEG39094	24
CEG35523	CEG35523	24
CEG44808	CEG44808	24
CEG36731	CEG36731	24
CEG38030	CEG38030	24
CEG41085	CEG41085	24
CEG39262	CEG39262	24
CEG46966	CEG46966	24
CEG41162	CEG41162	24
CEG47628	CEG47628	24
CEG44920	CEG44920	24
CEG39282	CEG39282	24
CEG43539	CEG43539	24
CEG35515	CEG35515	24
CEG44993	CEG44993	24
CEG46948	CEG46948	24
CEG49478	CEG49478	24
CEG36586	CEG36586	24
CEG48900	CEG48900	24
CEG37409	CEG37409	24
CEG47120	CEG47120	24
CEG50265	CEG50265	24
CEG35325	CEG35325	24
CEG44550	CEG44550	24
CEG47940	CEG47940	24
CEG47731	CEG47731	24
CEG46541	CEG46541	24
CEG43696	CEG43696	24
CEG42546	CEG42546	24
CEG47027	CEG47027	24
CEG40133	CEG40133	24
CEG49228	CEG49228	24
CEG46567	CEG46567	24
CEG46539	CEG46539	24
CEG41817	CEG41817	24
CEG49317	CEG49317	24
CEG35691	CEG35691	24
CEG45965	CEG45965	24
CEG36701	CEG36701	24
CEG38772	CEG38772	24
CEG47700	CEG47700	24
CEG35252	CEG35252	24
CEG46870	CEG46870	24
CEG49399	CEG49399	24
CEG49657	CEG49657	24
CEG37579	CEG37579	24
CEG36772	CEG36772	24
CEG47902	CEG47902	24
CEG45958	CEG45958	24
CEG42997	CEG42997	24
CEG45570	CEG45570	24
CEG35584	CEG35584	24
CEG49035	CEG49035	24
CEG35548	CEG35548	24
CEG46149	CEG46149	24
CEG39727	CEG39727	24
CEG39664	CEG39664	24
CEG50408	CEG50408	24
CEG38590	CEG38590	24
CEG48733	CEG48733	24
CEG50102	CEG50102	24
CEG47278	CEG47278	24
CEG35093	CEG35093	24
CEG40824	CEG40824	24
CEG35690	CEG35690	24
CEG36644	CEG36644	24
CEG49719	CEG49719	24
CEG38414	CEG38414	24
CEG36439	CEG36439	24
CEG47087	CEG47087	24
CEG37869	CEG37869	24
CEG43468	CEG43468	24
CEG42676	CEG42676	24
CEG35777	CEG35777	24
CEG42840	CEG42840	25
CEG48458	CEG48458	25
CEG38269	CEG38269	25
CEG40876	CEG40876	25
CEG50198	CEG50198	25
CEG48538	CEG48538	25
CEG42054	CEG42054	25
CEG48839	CEG48839	25
CEG48214	CEG48214	25
CEG45682	CEG45682	25
CEG42689	CEG42689	25
CEG47241	CEG47241	25
CEG36039	CEG36039	25
CEG39759	CEG39759	25
CEG41448	CEG41448	25
CEG42167	CEG42167	25
CEG35280	CEG35280	25
CEG40301	CEG40301	25
CEG41892	CEG41892	25
CEG39593	CEG39593	25
CEG42120	CEG42120	25
CEG36465	CEG36465	25
CEG45736	CEG45736	25
CEG41559	CEG41559	25
CEG36294	CEG36294	25
CEG44033	CEG44033	25
CEG39623	CEG39623	25
CEG46055	CEG46055	25
CEG43983	CEG43983	25
CEG45538	CEG45538	25
CEG35496	CEG35496	25
CEG46504	CEG46504	25
CEG49168	CEG49168	25
CEG48255	CEG48255	25
CEG47459	CEG47459	25
CEG43501	CEG43501	25
CEG47315	CEG47315	25
CEG38782	CEG38782	25
CEG36610	CEG36610	25
CEG35527	CEG35527	25
CEG40387	CEG40387	25
CEG35884	CEG35884	25
CEG47166	CEG47166	25
CEG42050	CEG42050	25
CEG43571	CEG43571	25
CEG41482	CEG41482	25
CEG43574	CEG43574	25
CEG46741	CEG46741	25
CEG50080	CEG50080	25
CEG37408	CEG37408	25
CEG44360	CEG44360	25
CEG40913	CEG40913	25
CEG49037	CEG49037	25
CEG46694	CEG46694	25
CEG37558	CEG37558	25
CEG44068	CEG44068	25
CEG43108	CEG43108	25
CEG35498	CEG35498	25
CEG48884	CEG48884	25
CEG39117	CEG39117	25
CEG37090	CEG37090	25
CEG41574	CEG41574	25
CEG41028	CEG41028	25
CEG45088	CEG45088	25
CEG42838	CEG42838	25
CEG48042	CEG48042	25
CEG39238	CEG39238	25
CEG50358	CEG50358	25
CEG40352	CEG40352	25
CEG36394	CEG36394	25
CEG45931	CEG45931	25
CEG46517	CEG46517	25
CEG48453	CEG48453	25
CEG45675	CEG45675	25
CEG47836	CEG47836	25
CEG42656	CEG42656	25
CEG42114	CEG42114	25
CEG49609	CEG49609	25
CEG44770	CEG44770	25
CEG41601	CEG41601	25
CEG36063	CEG36063	25
CEG38299	CEG38299	25
CEG35857	CEG35857	25
CEG39346	CEG39346	25
CEG46806	CEG46806	25
CEG37605	CEG37605	25
CEG35703	CEG35703	25
CEG44441	CEG44441	25
CEG49966	CEG49966	25
CEG48833	CEG48833	25
CEG44377	CEG44377	25
CEG35908	CEG35908	25
CEG39875	CEG39875	25
CEG45528	CEG45528	25
CEG44350	CEG44350	25
CEG50359	CEG50359	25
CEG39569	CEG39569	25
CEG42552	CEG42552	25
CEG45270	CEG45270	25
CEG45403	CEG45403	25
CEG45152	CEG45152	25
CEG37956	CEG37956	25
CEG45151	CEG45151	25
CEG35840	CEG35840	25
CEG38284	CEG38284	25
CEG43517	CEG43517	25
CEG49647	CEG49647	25
CEG42886	CEG42886	25
CEG35512	CEG35512	25
CEG50257	CEG50257	25
CEG45411	CEG45411	25
CEG42563	CEG42563	25
CEG38724	CEG38724	25
CEG47649	CEG47649	25
CEG35243	CEG35243	25
CEG45641	CEG45641	25
CEG42449	CEG42449	25
CEG47995	CEG47995	25
CEG36876	CEG36876	25
CEG42408	CEG42408	25
CEG43992	CEG43992	25
CEG40245	CEG40245	25
CEG47260	CEG47260	25
CEG45363	CEG45363	25
CEG43464	CEG43464	25
CEG41922	CEG41922	25
CEG42988	CEG42988	25
CEG45498	CEG45498	25
CEG37873	CEG37873	25
CEG41098	CEG41098	25
CEG50014	CEG50014	25
CEG45389	CEG45389	25
CEG39697	CEG39697	25
CEG49517	CEG49517	25
CEG40707	CEG40707	25
CEG46476	CEG46476	25
CEG37027	CEG37027	25
CEG43143	CEG43143	25
CEG36457	CEG36457	25
CEG43442	CEG43442	25
CEG45673	CEG45673	25
CEG50411	CEG50411	25
CEG36011	CEG36011	25
CEG47400	CEG47400	25
CEG35804	CEG35804	25
CEG40875	CEG40875	25
CEG46251	CEG46251	25
CEG35903	CEG35903	25
CEG40090	CEG40090	25
CEG42948	CEG42948	25
CEG44689	CEG44689	25
CEG43454	CEG43454	25
CEG35912	CEG35912	25
CEG42784	CEG42784	25
CEG38759	CEG38759	25
CEG40801	CEG40801	25
CEG38297	CEG38297	25
CEG48732	CEG48732	25
CEG35958	CEG35958	25
CEG43641	CEG43641	25
CEG39338	CEG39338	25
CEG36393	CEG36393	25
CEG40772	CEG40772	25
CEG37102	CEG37102	25
CEG46181	CEG46181	25
CEG36464	CEG36464	25
CEG43465	CEG43465	25
CEG45624	CEG45624	25
CEG45917	CEG45917	25
CEG35771	CEG35771	25
CEG35279	CEG35279	25
CEG40842	CEG40842	25
CEG37957	CEG37957	25
CEG41863	CEG41863	25
CEG46727	CEG46727	25
CEG35178	CEG35178	25
CEG48280	CEG48280	25
CEG41811	CEG41811	25
CEG41795	CEG41795	25
CEG48533	CEG48533	25
CEG49608	CEG49608	25
CEG45497	CEG45497	25
CEG45959	CEG45959	25
CEG48955	CEG48955	25
CEG50026	CEG50026	25
CEG41919	CEG41919	25
CEG47635	CEG47635	25
CEG41313	CEG41313	25
CEG43374	CEG43374	25
CEG40332	CEG40332	25
CEG40339	CEG40339	25
CEG45132	CEG45132	25
CEG42945	CEG42945	25
CEG46167	CEG46167	25
CEG46222	CEG46222	25
CEG41688	CEG41688	25
CEG44740	CEG44740	25
CEG38346	CEG38346	25
CEG47405	CEG47405	25
CEG37980	CEG37980	25
CEG36122	CEG36122	25
CEG37831	CEG37831	25
CEG50077	CEG50077	25
CEG37151	CEG37151	25
CEG50441	CEG50441	25
CEG49574	CEG49574	25
CEG39480	CEG39480	25
CEG48592	CEG48592	25
CEG48814	CEG48814	25
CEG37319	CEG37319	25
CEG40610	CEG40610	25
CEG37120	CEG37120	25
CEG37203	CEG37203	25
CEG48292	CEG48292	25
CEG40103	CEG40103	25
CEG41048	CEG41048	25
CEG39068	CEG39068	25
CEG44080	CEG44080	25
CEG45755	CEG45755	25
CEG41421	CEG41421	25
CEG49056	CEG49056	25
CEG36639	CEG36639	25
CEG36557	CEG36557	25
CEG41324	CEG41324	25
CEG46415	CEG46415	25
CEG36159	CEG36159	25
CEG50009	CEG50009	25
CEG44915	CEG44915	25
CEG46027	CEG46027	25
CEG35581	CEG35581	25
CEG43513	CEG43513	25
